ticker,event,gpu,rule,actual_rule,base_outcome,direction,radius_log,radius_pct
KXA100W-26AUG28-1.07,KXA100W-26AUG28,a100-sxm4,terminal,terminal,yes,up,,
KXA100W-26AUG28-1.07,KXA100W-26AUG28,a100-sxm4,terminal,terminal,yes,down,0.122961711135,13.0841121495
KXA100W-26AUG28-1.07,KXA100W-26AUG28,a100-sxm4,mean5,terminal,yes,up,,
KXA100W-26AUG28-1.07,KXA100W-26AUG28,a100-sxm4,mean5,terminal,yes,down,0.113659318473,12.037037037
KXA100W-26AUG28-1.07,KXA100W-26AUG28,a100-sxm4,median7,terminal,no,up,1.02255319456e-15,1.02255319456e-13
KXA100W-26AUG28-1.07,KXA100W-26AUG28,a100-sxm4,median7,terminal,no,down,,
KXA100W-26AUG28-1.07,KXA100W-26AUG28,a100-sxm4,month_mean,terminal,yes,up,,
KXA100W-26AUG28-1.07,KXA100W-26AUG28,a100-sxm4,month_mean,terminal,yes,down,0.122961711135,13.0841121495
KXA100W-26AUG28-1.07,KXA100W-26AUG28,a100-sxm4,touch,terminal,yes,up,,
KXA100W-26AUG28-1.07,KXA100W-26AUG28,a100-sxm4,touch,terminal,yes,down,,
KXA100W-26AUG21-1.04,KXA100W-26AUG21,a100-sxm4,terminal,terminal,yes,up,,
KXA100W-26AUG21-1.04,KXA100W-26AUG21,a100-sxm4,terminal,terminal,yes,down,0.0284379353205,2.88461538462
KXA100W-26AUG21-1.04,KXA100W-26AUG21,a100-sxm4,mean5,terminal,yes,up,,
KXA100W-26AUG21-1.04,KXA100W-26AUG21,a100-sxm4,mean5,terminal,yes,down,0.148053099959,15.9574468085
KXA100W-26AUG21-1.04,KXA100W-26AUG21,a100-sxm4,median7,terminal,yes,up,,
KXA100W-26AUG21-1.04,KXA100W-26AUG21,a100-sxm4,median7,terminal,yes,down,,
KXA100W-26AUG21-1.04,KXA100W-26AUG21,a100-sxm4,month_mean,terminal,yes,up,,
KXA100W-26AUG21-1.04,KXA100W-26AUG21,a100-sxm4,month_mean,terminal,yes,down,0.116636903726,12.3711340206
KXA100W-26AUG21-1.04,KXA100W-26AUG21,a100-sxm4,touch,terminal,yes,up,,
KXA100W-26AUG21-1.04,KXA100W-26AUG21,a100-sxm4,touch,terminal,yes,down,,
KXA100W-26AUG14-1.03,KXA100W-26AUG14,a100-sxm4,terminal,terminal,yes,up,,
KXA100W-26AUG14-1.03,KXA100W-26AUG14,a100-sxm4,terminal,terminal,yes,down,0.00966191091174,0.970873786408
KXA100W-26AUG14-1.03,KXA100W-26AUG14,a100-sxm4,mean5,terminal,yes,up,,
KXA100W-26AUG14-1.03,KXA100W-26AUG14,a100-sxm4,mean5,terminal,yes,down,0.117783035656,12.5
KXA100W-26AUG14-1.03,KXA100W-26AUG14,a100-sxm4,median7,terminal,yes,up,,
KXA100W-26AUG14-1.03,KXA100W-26AUG14,a100-sxm4,median7,terminal,yes,down,,
KXA100W-26AUG14-1.03,KXA100W-26AUG14,a100-sxm4,month_mean,terminal,yes,up,,
KXA100W-26AUG14-1.03,KXA100W-26AUG14,a100-sxm4,month_mean,terminal,yes,down,0.171271720607,18.6813186813
KXA100W-26AUG14-1.03,KXA100W-26AUG14,a100-sxm4,touch,terminal,yes,up,,
KXA100W-26AUG14-1.03,KXA100W-26AUG14,a100-sxm4,touch,terminal,yes,down,,
KXA100W-26AUG07-1.03,KXA100W-26AUG07,a100-sxm4,terminal,terminal,no,up,1.02255319456e-15,1.02255319456e-13
KXA100W-26AUG07-1.03,KXA100W-26AUG07,a100-sxm4,terminal,terminal,no,down,,
KXA100W-26AUG07-1.03,KXA100W-26AUG07,a100-sxm4,mean5,terminal,yes,up,,
KXA100W-26AUG07-1.03,KXA100W-26AUG07,a100-sxm4,mean5,terminal,yes,down,0.0392207131533,4.0
KXA100W-26AUG07-1.03,KXA100W-26AUG07,a100-sxm4,median7,terminal,yes,up,,
KXA100W-26AUG07-1.03,KXA100W-26AUG07,a100-sxm4,median7,terminal,yes,down,,
KXA100W-26AUG07-1.03,KXA100W-26AUG07,a100-sxm4,month_mean,terminal,yes,up,,
KXA100W-26AUG07-1.03,KXA100W-26AUG07,a100-sxm4,month_mean,terminal,yes,down,0.0683192439775,7.07070707071
KXA100W-26AUG07-1.03,KXA100W-26AUG07,a100-sxm4,touch,terminal,yes,up,,
KXA100W-26AUG07-1.03,KXA100W-26AUG07,a100-sxm4,touch,terminal,yes,down,,
KXA100W-26JUL31-1.06,KXA100W-26JUL31,a100-sxm4,terminal,terminal,no,up,0.0287101058824,2.91262135922
KXA100W-26JUL31-1.06,KXA100W-26JUL31,a100-sxm4,terminal,terminal,no,down,,
KXA100W-26JUL31-1.06,KXA100W-26JUL31,a100-sxm4,mean5,terminal,no,up,0.0814930342512,8.49056603774
KXA100W-26JUL31-1.06,KXA100W-26JUL31,a100-sxm4,mean5,terminal,no,down,,
KXA100W-26JUL31-1.06,KXA100W-26JUL31,a100-sxm4,median7,terminal,no,up,,
KXA100W-26JUL31-1.06,KXA100W-26JUL31,a100-sxm4,median7,terminal,no,down,,
KXA100W-26JUL31-1.06,KXA100W-26JUL31,a100-sxm4,month_mean,terminal,no,up,0.0901510969943,9.43396226415
KXA100W-26JUL31-1.06,KXA100W-26JUL31,a100-sxm4,month_mean,terminal,no,down,,
KXA100W-26JUL31-1.06,KXA100W-26JUL31,a100-sxm4,touch,terminal,no,up,1.02255319456e-15,1.02255319456e-13
KXA100W-26JUL31-1.06,KXA100W-26JUL31,a100-sxm4,touch,terminal,no,down,,
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,terminal,terminal,yes,up,,
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,terminal,terminal,yes,down,0.0384662808278,3.92156862745
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,mean5,terminal,yes,up,,
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,mean5,terminal,yes,down,0.109562202512,11.5789473684
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,median7,terminal,yes,up,,
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,median7,terminal,yes,down,0.00975617494537,0.980392156863
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,month_mean,terminal,yes,up,,
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,month_mean,terminal,yes,down,0.0683192439775,7.07070707071
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,touch,terminal,yes,up,,
KXA100W-26JUL24-1.02,KXA100W-26JUL24,a100-sxm4,touch,terminal,yes,down,,
KXA100W-26JUL17-1.01,KXA100W-26JUL17,a100-sxm4,terminal,terminal,yes,up,,
KXA100W-26JUL17-1.01,KXA100W-26JUL17,a100-sxm4,terminal,terminal,yes,down,0.00985229644301,0.990099009901
KXA100W-26JUL17-1.01,KXA100W-26JUL17,a100-sxm4,mean5,terminal,yes,up,,
KXA100W-26JUL17-1.01,KXA100W-26JUL17,a100-sxm4,mean5,terminal,yes,down,0.111791405988,11.8279569892
KXA100W-26JUL17-1.01,KXA100W-26JUL17,a100-sxm4,median7,terminal,yes,up,,
KXA100W-26JUL17-1.01,KXA100W-26JUL17,a100-sxm4,median7,terminal,yes,down,,
KXA100W-26JUL17-1.01,KXA100W-26JUL17,a100-sxm4,month_mean,terminal,yes,up,,
