rule,direction,interpretation,epsilon_pct,n_events,n_strikes,event_weighted_vulnerable_share,strike_weighted_vulnerable_share
terminal,up,false_positive,0.5,28,85,0.15178571428571427,0.058823529411764705
terminal,up,false_positive,1.0,28,85,0.22857142857142856,0.10588235294117647
terminal,up,false_positive,2.0,28,85,0.30892857142857144,0.1411764705882353
terminal,up,false_positive,5.0,28,85,0.5461038961038961,0.2823529411764706
terminal,up,false_positive,10.0,28,85,0.7207792207792207,0.43529411764705883
terminal,down,false_negative,0.5,33,123,0.0,0.0
terminal,down,false_negative,1.0,33,123,0.09191919191919191,0.032520325203252036
terminal,down,false_negative,2.0,33,123,0.2194023569023569,0.08943089430894309
terminal,down,false_negative,5.0,33,123,0.5303872053872054,0.21138211382113822
terminal,down,false_negative,10.0,33,123,0.6667087542087542,0.3252032520325203
mean5,up,false_positive,0.5,28,89,0.0,0.0
mean5,up,false_positive,1.0,28,89,0.0,0.0
mean5,up,false_positive,2.0,28,89,0.042261904761904764,0.033707865168539325
mean5,up,false_positive,5.0,28,89,0.12261904761904761,0.06741573033707865
mean5,up,false_positive,10.0,28,89,0.30631469979296067,0.14606741573033707
mean5,down,false_negative,0.5,33,119,0.0,0.0
mean5,down,false_negative,1.0,33,119,0.030303030303030304,0.008403361344537815
mean5,down,false_negative,2.0,33,119,0.0920314253647587,0.03361344537815126
mean5,down,false_negative,5.0,33,119,0.1829405162738496,0.058823529411764705
mean5,down,false_negative,10.0,33,119,0.18887485970819304,0.08403361344537816
median7,up,false_positive,0.5,34,98,0.12058823529411765,0.05102040816326531
median7,up,false_positive,1.0,34,98,0.151131221719457,0.07142857142857142
median7,up,false_positive,2.0,34,98,0.151131221719457,0.07142857142857142
median7,up,false_positive,5.0,34,98,0.15339366515837105,0.09183673469387756
median7,up,false_positive,10.0,34,98,0.15339366515837105,0.09183673469387756
median7,down,false_negative,0.5,27,110,0.0023148148148148147,0.00909090909090909
median7,down,false_negative,1.0,27,110,0.0763888888888889,0.02727272727272727
median7,down,false_negative,2.0,27,110,0.15046296296296297,0.045454545454545456
median7,down,false_negative,5.0,27,110,0.22824074074074074,0.07272727272727272
median7,down,false_negative,10.0,27,110,0.22824074074074074,0.07272727272727272
month_mean,up,false_positive,0.5,31,100,0.03225806451612903,0.01
month_mean,up,false_positive,1.0,31,100,0.03225806451612903,0.01
month_mean,up,false_positive,2.0,31,100,0.03225806451612903,0.01
month_mean,up,false_positive,5.0,31,100,0.13225806451612904,0.05
month_mean,up,false_positive,10.0,31,100,0.3609970674486804,0.13
month_mean,down,false_negative,0.5,30,108,0.0,0.0
month_mean,down,false_negative,1.0,30,108,0.03333333333333333,0.009259259259259259
month_mean,down,false_negative,2.0,30,108,0.03333333333333333,0.009259259259259259
month_mean,down,false_negative,5.0,30,108,0.06666666666666667,0.018518518518518517
month_mean,down,false_negative,10.0,30,108,0.2,0.05555555555555555
touch,up,false_positive,0.5,23,63,0.6956521739130435,0.25396825396825395
touch,up,false_positive,1.0,23,63,0.6978260869565217,0.2698412698412698
touch,up,false_positive,2.0,23,63,0.7710144927536232,0.3333333333333333
touch,up,false_positive,5.0,23,63,0.8239130434782609,0.42857142857142855
touch,up,false_positive,10.0,23,63,0.8804347826086957,0.5555555555555556
touch,down,false_negative,0.5,38,145,0.02699055330634278,0.013793103448275862
touch,down,false_negative,1.0,38,145,0.056499067238231324,0.034482758620689655
touch,down,false_negative,2.0,38,145,0.11000783916805588,0.05517241379310345
touch,down,false_negative,5.0,38,145,0.11088503215051203,0.06206896551724138
touch,down,false_negative,10.0,38,145,0.1125297689926173,0.06896551724137931
