rule,direction,interpretation,epsilon_pct,n_events,n_strikes,event_weighted_vulnerable_share,strike_weighted_vulnerable_share
terminal,up,false_positive,0.5,25,65,0.17,0.0769230769231
terminal,up,false_positive,1.0,25,65,0.256,0.138461538462
terminal,up,false_positive,2.0,25,65,0.346,0.184615384615
terminal,up,false_positive,5.0,25,65,0.608,0.353846153846
terminal,up,false_positive,10.0,25,65,0.8,0.538461538462
terminal,down,false_negative,0.5,32,114,0.0,0.0
terminal,down,false_negative,1.0,32,114,0.0947916666667,0.0350877192982
terminal,down,false_negative,2.0,32,114,0.222786458333,0.0877192982456
terminal,down,false_negative,5.0,32,114,0.543489583333,0.219298245614
terminal,down,false_negative,10.0,32,114,0.680598958333,0.333333333333
mean5,up,false_positive,0.5,0,0,,
mean5,up,false_positive,1.0,0,0,,
mean5,up,false_positive,2.0,0,0,,
mean5,up,false_positive,5.0,0,0,,
mean5,up,false_positive,10.0,0,0,,
mean5,down,false_negative,0.5,0,0,,
mean5,down,false_negative,1.0,0,0,,
mean5,down,false_negative,2.0,0,0,,
mean5,down,false_negative,5.0,0,0,,
mean5,down,false_negative,10.0,0,0,,
median7,up,false_positive,0.5,0,0,,
median7,up,false_positive,1.0,0,0,,
median7,up,false_positive,2.0,0,0,,
median7,up,false_positive,5.0,0,0,,
median7,up,false_positive,10.0,0,0,,
median7,down,false_negative,0.5,0,0,,
median7,down,false_negative,1.0,0,0,,
median7,down,false_negative,2.0,0,0,,
median7,down,false_negative,5.0,0,0,,
median7,down,false_negative,10.0,0,0,,
month_mean,up,false_positive,0.5,0,0,,
month_mean,up,false_positive,1.0,0,0,,
month_mean,up,false_positive,2.0,0,0,,
month_mean,up,false_positive,5.0,0,0,,
month_mean,up,false_positive,10.0,0,0,,
month_mean,down,false_negative,0.5,0,0,,
month_mean,down,false_negative,1.0,0,0,,
month_mean,down,false_negative,2.0,0,0,,
month_mean,down,false_negative,5.0,0,0,,
month_mean,down,false_negative,10.0,0,0,,
touch,up,false_positive,0.5,3,13,0.0,0.0
touch,up,false_positive,1.0,3,13,0.0,0.0
touch,up,false_positive,2.0,3,13,0.0833333333333,0.0769230769231
touch,up,false_positive,5.0,3,13,0.233333333333,0.230769230769
touch,up,false_positive,10.0,3,13,0.616666666667,0.615384615385
touch,down,false_negative,0.5,1,16,0.0,0.0
touch,down,false_negative,1.0,1,16,0.0625,0.0625
touch,down,false_negative,2.0,1,16,0.0625,0.0625
touch,down,false_negative,5.0,1,16,0.0625,0.0625
touch,down,false_negative,10.0,1,16,0.125,0.125
