rule,direction,interpretation,epsilon_pct,n_events,n_strikes,event_weighted_vulnerable_share,strike_weighted_vulnerable_share
terminal,up,false_positive,0.5,15,63,0.08333333333333333,0.031746031746031744
terminal,up,false_positive,1.0,15,63,0.09333333333333334,0.06349206349206349
terminal,up,false_positive,2.0,15,63,0.11,0.07936507936507936
terminal,up,false_positive,5.0,15,63,0.28606060606060607,0.20634920634920634
terminal,up,false_positive,10.0,15,63,0.5387878787878788,0.38095238095238093
terminal,down,false_negative,0.5,24,105,0.0,0.0
terminal,down,false_negative,1.0,24,105,0.043055555555555555,0.01904761904761905
terminal,down,false_negative,2.0,24,105,0.17667824074074073,0.0761904761904762
terminal,down,false_negative,5.0,24,105,0.43344907407407407,0.17142857142857143
terminal,down,false_negative,10.0,24,105,0.6208912037037037,0.3047619047619048
mean5,up,false_positive,0.5,17,69,0.0,0.0
mean5,up,false_positive,1.0,17,69,0.0,0.0
mean5,up,false_positive,2.0,17,69,0.0696078431372549,0.043478260869565216
mean5,up,false_positive,5.0,17,69,0.08431372549019608,0.057971014492753624
mean5,up,false_positive,10.0,17,69,0.15157715260017052,0.10144927536231885
mean5,down,false_negative,0.5,22,99,0.0,0.0
mean5,down,false_negative,1.0,22,99,0.0,0.0
mean5,down,false_negative,2.0,22,99,0.09259259259259259,0.030303030303030304
mean5,down,false_negative,5.0,22,99,0.1835016835016835,0.050505050505050504
mean5,down,false_negative,10.0,22,99,0.1878577441077441,0.0707070707070707
median7,up,false_positive,0.5,21,76,0.14761904761904762,0.05263157894736842
median7,up,false_positive,1.0,21,76,0.19706959706959706,0.07894736842105263
median7,up,false_positive,2.0,21,76,0.19706959706959706,0.07894736842105263
median7,up,false_positive,5.0,21,76,0.20073260073260074,0.10526315789473684
median7,up,false_positive,10.0,21,76,0.20073260073260074,0.10526315789473684
median7,down,false_negative,0.5,18,92,0.003472222222222222,0.010869565217391304
median7,down,false_negative,1.0,18,92,0.059027777777777776,0.021739130434782608
median7,down,false_negative,2.0,18,92,0.1701388888888889,0.043478260869565216
median7,down,false_negative,5.0,18,92,0.22569444444444445,0.05434782608695652
median7,down,false_negative,10.0,18,92,0.22569444444444445,0.05434782608695652
month_mean,up,false_positive,0.5,19,79,0.0,0.0
month_mean,up,false_positive,1.0,19,79,0.0,0.0
month_mean,up,false_positive,2.0,19,79,0.0,0.0
month_mean,up,false_positive,5.0,19,79,0.11052631578947368,0.0379746835443038
month_mean,up,false_positive,10.0,19,79,0.16794258373205742,0.06329113924050633
month_mean,down,false_negative,0.5,20,89,0.0,0.0
month_mean,down,false_negative,1.0,20,89,0.05,0.011235955056179775
month_mean,down,false_negative,2.0,20,89,0.05,0.011235955056179775
month_mean,down,false_negative,5.0,20,89,0.1,0.02247191011235955
month_mean,down,false_negative,10.0,20,89,0.2,0.0449438202247191
touch,up,false_positive,0.5,13,44,0.5384615384615384,0.1590909090909091
touch,up,false_positive,1.0,13,44,0.5423076923076923,0.18181818181818182
touch,up,false_positive,2.0,13,44,0.6641025641025641,0.25
touch,up,false_positive,5.0,13,44,0.7576923076923077,0.38636363636363635
touch,up,false_positive,10.0,13,44,0.8576923076923076,0.5681818181818182
touch,down,false_negative,0.5,26,124,0.03944773175542406,0.016129032258064516
touch,down,false_negative,1.0,26,124,0.08257555980972271,0.04032258064516129
touch,down,false_negative,2.0,26,124,0.12231914955331245,0.056451612903225805
touch,down,false_negative,5.0,26,124,0.12360120083536373,0.06451612903225806
touch,down,false_negative,10.0,26,124,0.1260050469892099,0.07258064516129033
