gpu,strike,hour,touch_price,terminal_tail_upper_normalized,wedge_lower_bound
B200,8.0,495931,0.32,0.04990925589836661,0.2700907441016334
B200,8.0,495932,0.32,0.049239033124440466,0.27076096687555956
B200,8.0,495933,0.32,0.053595355069227336,0.26640464493077265
B200,8.0,495934,0.32,0.054570259208731244,0.26542974079126874
B200,8.0,495935,0.32,0.049349484073575596,0.2706505159264244
B200,8.0,495936,0.32,0.04939380332285586,0.27060619667714414
B200,8.0,495937,0.32,0.05434782608695653,0.26565217391304347
B200,8.0,495938,0.32,0.05429864253393665,0.2657013574660634
B200,8.0,495939,0.32,0.04943820224719101,0.270561797752809
B200,8.0,495940,0.32,0.049616599007668016,0.270383400992332
B200,8.0,495941,0.32,0.05489478499542543,0.26510521500457457
B200,8.0,495942,0.32,0.054249547920434,0.265750452079566
B200,8.0,495943,0.32,0.08853474988933158,0.23146525011066843
B200,8.0,495944,0.32,0.0746268656716418,0.24537313432835822
B200,8.0,495945,0.32,0.06596306068601583,0.2540369393139842
B200,8.0,495946,0.32,0.07293007293007293,0.2470699270699271
B200,8.0,495947,0.32,0.06584723441615452,0.2541527655838455
B200,8.0,495948,0.32,0.07060900264783761,0.2493909973521624
B200,8.0,495949,0.32,0.0752212389380531,0.2447787610619469
B200,8.0,495950,0.32,0.08381120423467138,0.23618879576532864
B200,8.0,495951,0.32,0.07898200965335674,0.24101799034664328
B200,8.0,495952,0.32,0.06547359231776517,0.25452640768223483
B200,8.0,495953,0.32,0.07400957771005659,0.24599042228994342
B200,8.0,495954,0.32,0.07971656333038087,0.24028343666961915
B200,8.0,495955,0.32,0.08601177003168854,0.23398822996831148
B200,8.0,495956,0.32,0.08644222020018198,0.233557779799818
B200,8.0,495957,0.32,0.06696428571428571,0.2530357142857143
B200,8.0,495958,0.32,0.05371530886302596,0.26628469113697406
B200,8.0,495959,0.32,0.04514672686230249,0.27485327313769753
B200,8.0,495960,0.32,0.05025125628140703,0.269748743718593
B200,8.0,495961,0.32,0.04986400725294651,0.27013599274705347
B200,8.0,495962,0.32,0.04564125969876769,0.2743587403012323
B200,8.0,495963,0.32,0.04986400725294651,0.27013599274705347
B200,8.0,495964,0.32,0.05011389521640092,0.2698861047835991
B200,8.0,495965,0.32,0.04906333630686887,0.27093666369313113
B200,8.0,495966,0.32,0.05429864253393665,0.2657013574660634
B200,8.0,495967,0.32,0.050597976080956765,0.2694020239190432
B200,8.0,495968,0.32,0.06410256410256411,0.2558974358974359
B200,8.0,495969,0.32,0.05977011494252874,0.26022988505747124
B200,8.0,495970,0.32,0.0636074511585643,0.2563925488414357
B200,8.0,495971,0.32,0.05879692446856626,0.26120307553143374
B200,8.0,495972,0.32,0.05437245129134572,0.2656275487086543
B200,8.0,495973,0.325,0.08873114463176575,0.23626885536823428
B200,8.0,495974,0.325,0.08955223880597016,0.23544776119402985
B200,8.0,495975,0.32,0.07789678675754626,0.24210321324245376
B200,8.0,495976,0.32,0.07792207792207792,0.2420779220779221
B200,8.0,495977,0.32,0.08790072388831438,0.23209927611168563
B200,8.0,495978,0.32,0.08771929824561404,0.23228070175438598
B200,8.0,495979,0.32,0.08209338122113904,0.23790661877886096
B200,8.0,495980,0.32,0.08346374543557643,0.23653625456442356
B200,8.0,495981,0.325,0.09763617677286743,0.22736382322713258
B200,8.0,495982,0.325,0.08799171842650104,0.23700828157349896
B200,8.0,495983,0.325,0.08320332813312532,0.2417966718668747
B200,8.0,495984,0.325,0.07849293563579278,0.24650706436420722
B200,8.0,495985,0.325,0.09733606557377049,0.2276639344262295
B200,8.0,495986,0.325,0.08822003113648158,0.23677996886351843
B200,8.0,495987,0.325,0.09574468085106383,0.22925531914893618
B200,8.0,495988,0.325,0.10084033613445378,0.22415966386554623
B200,8.0,495989,0.325,0.09609949123798757,0.22890050876201246
B200,8.0,495990,0.325,0.08045977011494254,0.24454022988505747
B200,8.0,495991,0.325,0.08571428571428572,0.2392857142857143
B200,8.0,495992,0.325,0.09090909090909091,0.2340909090909091
B200,8.0,495993,0.325,0.09609949123798757,0.22890050876201246
B200,8.0,495994,0.325,0.09096077316657192,0.2340392268334281
B200,8.0,495995,0.325,0.08576329331046312,0.2392367066895369
B200,8.0,495996,0.325,0.10620458356623813,0.21879541643376188
B200,8.0,495997,0.325,0.106323447118075,0.218676552881925
B200,8.0,495998,0.325,0.106323447118075,0.218676552881925
B200,8.0,495999,0.325,0.10638297872340426,0.21861702127659577
B200,8.0,496000,0.325,0.10596765197992192,0.2190323480200781
B200,8.0,496001,0.325,0.10596765197992192,0.2190323480200781
B200,8.0,496002,0.325,0.10602678571428571,0.2189732142857143
B200,8.0,496003,0.325,0.10101010101010101,0.22398989898989902
B200,8.0,496004,0.325,0.11086474501108648,0.21413525498891353
B200,8.0,496005,0.325,0.10608598548297041,0.2189140145170296
